"URL","Status"
"https://translate.googleusercontent.com/translate_c?depth=1&hl=en&rurl=translate.google.com&sl=auto&sp=nmt4&tl=ja&u=https://github.com/LowyShin/KnowledgeBase&usg=ALkJrhgmYJ2j5I5KtTO5ROlKUAYf8bQMcw","404 Not Found"
"https://github.com/LowyShin/KnowledgeBase/blob/master/m/Markdown","404 Not Found"
"https://github.com/LowyShin/KnowledgeBase/blob/master/dic/blockchain","404 Not Found"
